Year ,1,2,3,4,5,6,7,8,9,10
2024-25,A. Edwards (320),M. Beasley (319),S. Curry (311),D. White (265),P. Pritchard (255),T. Herro (251),J. Tatum (250),Z. LaVine (239),J. Harden (235),J. Poole (235)
2023-24,S. Curry (357),L. Dončić (284),D. DiVincenzo (283),K. Thompson (268),P. George (243),B. Bogdanović (240),C. McCollum (239),J. Tatum (229),F. VanVleet (227),D. Russell (226)
2022-23,K. Thompson (301),B. Hield (288),S. Curry (273),D. Mitchell (245),D. Lillard (244),J. Tatum (240),M. Beasley (235),J. Randle (218),J. Poole (214),A. Edwards (213)
2021-22,S. Curry (285),B. Hield (262),F. VanVleet (242),E. Fournier (241),M. Beasley (240),T. Young (233),D. Mitchell (232), D. Robinson (232),J. Tatum (230),D. Bane (228)
2020-21,S. Curry (337),B. Hield (282),D. Lillard (275),D. Robinson (250),T. Rozier (222),J. Harris (211),J. Clarkson (208),T. Hardaway (207),Z. LaVine (200),L. Dončić (192)
2019-20,J. Harden (299),B. Hield (271),D. Lillard (270),D. Robinson (270),D. Graham (218),T. Young (205),T. Hardaway (204),D. Bertāns (200),C. McCollum (194),B. Bogdanović (189)
2018-19,J. Harden (378),S. Curry (354),P. George (292),B. Hield (278),K. Walker (260),K. Thompson (241),J. Redick (240),D. Lillard (237),D. Russell (234),T. Ross (217)
2017-18,J. Harden (265),P. George (244),K. Lowry (238),K. Walker (231),K. Thompson (229),W. Ellington (227),D. Lillard (227),E. Gordon (218),S. Curry (212),J. Ingles (204)
2016-17,S. Curry (324),K. Thompson (268),J. Harden (262),E. Gordon (246),I. Thomas (245),K. Walker (240),B. Beal (223),D. Lillard (214),R. Anderson (204),J. Redick (201)
2015-16,S. Curry (402),K. Thompson (276),J. Harden (236),D. Lillard (229),K. Lowry (212),P. George (210),J. Smith (204),J. Redick (200),C. McCollum (197),W. Matthews (189)
2014-15,S. Curry (286),K. Thompson (239),K. Korver (221),J. Harden (208),J. Redick (200),D. Lillard (196),T. Ariza (194),D. Green (191),W. Matthews (173),R. Covington (167)
2013-14,S. Curry (261),K. Thompson (223),D. Lillard (218),G. Green (204),W. Matthews (201),K. Durant (192),J. Calderón (191),K. Love (190),R. Foye (189),J. Smith (189)
2012-13,S. Curry (272),R. Anderson (213),K. Thompson (211),K. Korver (189),D. Lillard (185),J. Harden (179),R. Foye (178),D. Green (177),B. Jennings (173),P. George (170)
2011-12,R. Anderson (166),J. Terry (138),K. Durant (133),S. Novak (133),B. Jennings (129),W. Matthews (129),R. Foye (127),J. Johnson (125),D. Granger (123),K. Korver (118)
2010-11,D. Wright (194),J. Richardson (189),K. Martin (176),C. Frye (171),R. Allen* (168),D. Granger (157),M. Ginóbili* (154),W. Matthews (154),M. Bibby (153),S. Curry (151)
